Nome,Dono,Estrelas,Maturidade,ArquivosDeTeste
Java,TheAlgorithms,61740,8.88,609
jadx,skylot,44170,12.21,648
termux-app,termux,41802,9.61,23
spring-boot-demo,xkcoding,33685,7.56,92
easyexcel,alibaba,33399,7.32,208
WxJava,binarywang,31179,9.41,326
spring-boot-examples,ityouknow,30467,8.57,163
canal,alibaba,29098,12.39,135
SpringAll,wuyouzhuguli,28803,7.08,34
JCSprout,crossoverJie,27094,7.46,29
fastjson,alibaba,25768,13.58,2926
incubator-seata,apache,25646,6.43,791
butterknife,JakeWharton,25514,12.25,75
EventBus,greenrobot,24751,12.88,32
Hystrix,Netflix,24328,12.54,141
gson,google,23772,10.21,139
Chat2DB,CodePhiliaX,23125,1.95,61
Sentinel,alibaba,22733,7.16,300
HikariCP,brettwooldridge,20467,11.65,63
litemall,linlinjava,19701,7.2,29
SpringBoot-Labs,yudaocode,19642,6.72,185
SpringCloudLearning,forezp,17953,8.15,127
disruptor,LMAX-Exchange,17823,12.7,89
Sa-Token,dromara,17720,5.33,148
Ehviewer_CN_SXJ,xiaojieonly,17458,4.56,12
tinker,Tencent,17358,8.74,11
JustAuth,justauth,16982,6.33,15
DataX,alibaba,16536,7.37,36
springboot-learning-example,JeffLi1993,16511,8.32,18
Android-CleanArchitecture,android10,15551,10.79,22
jib,GoogleContainerTools,13929,7.36,258
zuul,Netflix,13789,12.22,85
piggymetrics,sqshq,13537,10.18,25
cryptomator,cryptomator,12902,11.33,29
conductor,Netflix,12782,8.48,149
dex2jar,pxb1988,12746,10.22,66
stetho,facebook,12698,10.36,11
greenDAO,greenrobot,12622,13.62,150
eureka,Netflix,12548,12.85,112
COLA,alibaba,12449,7.32,141
Mybatis-PageHelper,pagehelper,12288,10.98,78
jedis,redis,12075,14.98,362
webmagic,code4craft,11560,12.11,63
PermissionsDispatcher,permissions-dispatcher,11228,9.8,17
jsoup,jhy,11176,15.46,84
interview,mission-peace,11168,10.87,29
androidannotations,androidannotations,11042,13.41,487
javapoet,square,10864,12.33,27
Java-WebSocket,TooTallNate,10664,15.37,70
pkl,apple,10660,1.36,43
Aegis,beemdevelopment,10398,8.8,25
resilience4j,resilience4j,10190,10.0,542
easypermissions,googlesamples,9898,9.45,10
paascloud-master,paascloud,9889,7.21,15
Signal-Server,signalapp,9765,11.48,318
feign,OpenFeign,9672,11.94,232
spark,perwendel,9663,14.08,84
android-gif-drawable,koral--,9593,12.34,11
Mycat-Server,MyCATApache,9551,10.5,163
PocketHub,pockethub,9381,13.74,28
testing-samples,android,9252,10.64,27
JsonPath,json-path,9132,14.36,82
karate,karatelabs,8554,8.32,208
junit4,junit-team,8531,16.39,471
Android-Debug-Database,amitshekhariitbhu,8498,8.54,10
tsunami-security-scanner,google,8403,4.99,58
ysoserial,frohoff,8241,10.35,20
testcontainers-java,testcontainers,8230,10.14,409
LitePal,guolindev,8104,12.28,22
transmittable-thread-local,alibaba,7985,11.64,11
metrics,dropwizard,7846,15.27,209
langchain4j,langchain4j,7731,1.95,562
RxLifecycle,trello-archive,7699,9.87,26
vjtools,vipshop,7661,7.01,86
Shadow,Tencent,7586,5.97,229
AndroidAsync,koush,7540,12.78,25
PowerJob,PowerJob,7481,5.21,76
SpringCloud-Learning,dyc87112,7394,8.78,37
Mapper,abel533,7367,10.53,210
mapstruct,mapstruct,7364,13.02,3433
dagger,square,7301,12.84,60
agera,google,7176,9.46,58
nanohttpd,NanoHttpd,7087,12.81,40
elasticsearch-sql,NLPchina,7021,10.78,19
rest-assured,rest-assured,6972,14.62,259
netty-socketio,mrniko,6954,13.39,16
jvm-sandbox,alibaba,6884,7.83,65
gnirehtet,Genymobile,6798,8.31,12
springcloud-learning,macrozheng,6746,5.73,37
springBoot,527515025,6664,8.57,14
itstack-demo-design,fuzhengwei,6629,5.03,38
quartz,quartz-scheduler,6514,9.24,87
smali,JesusFreke,6471,12.69,68
async-http-client,AsyncHttpClient,6352,14.24,156
jsonschema2pojo,joelittlejohn,6294,11.95,124
spring-cloud-examples,ityouknow,6224,8.1,45
graphql-java,graphql-java,6180,9.91,72
java-jwt,auth0,6048,11.24,27
mini-spring,DerekYRC,6037,4.54,47
useful-java-links,Vedenin,6009,9.3,40
vavr,vavr-io,5903,11.34,156
btrace,btraceio,5890,10.76,261
motan,weibocom,5887,9.12,157
traccar,traccar,5887,13.13,402
blade,lets-blade,5866,9.98,97
kafdrop,obsidiandynamics,5838,6.02,10
google-java-format,google,5810,10.06,24
tcc-transaction,changmingxie,5791,9.49,13
Fast-Android-Networking,amitshekhariitbhu,5791,9.2,31
hippo4j,opengoofy,5789,3.96,121
JSqlParser,JSQLParser,5699,13.95,221
springside4,springside,5693,13.28,76
lettuce,redis,5583,11.07,429
spring-boot-projects,ZHENFENG13,5575,8.17,10
disconf,knightliao,5553,11.01,48
mosby,sockeqwe,5479,10.19,70
scribejava,scribejava,5457,14.75,114
dubbo-spring-boot-project,apache,5406,7.37,22
socket.io-client-java,socketio,5386,12.1,18
jetcache,alibaba,5379,8.14,99
android-job,Evernote,5370,9.79,40
spring-data-examples,spring-projects,5300,11.34,177
gradle-retrolambda,evant,5292,11.83,11
thumbnailator,coobird,5274,9.86,46
okdownload,lingochamp,5232,7.46,69
web3j,LFDT-web3j,5229,8.74,159
springboot-guide,CodingDocs,5224,6.51,22
dddsample-core,citerus,5154,10.34,51
otto,square,5147,12.93,14
bitcoinj,bitcoinj,5104,11.54,126
TelegramBots,rubenlagus,5084,9.38,73
sensitive-word,houbb,5076,5.4,63
easy-rules,j-easy,5063,12.23,62
QLExpress,alibaba,5058,8.22,131
Small,wequick,5050,9.52,29
sofa-boot,sofastack,5034,7.17,426
spring-authorization-server,spring-projects,4997,5.21,143
spring-mvc-showcase,spring-attic,4983,14.0,18
mapdb,jankotek,4982,12.79,35
dynamic-datasource,baomidou,4946,7.1,42
spring-cloud-netflix,spring-cloud,4917,10.9,67
spotless,diffplug,4885,10.1,201
java-faker,DiUS,4862,13.99,111
cglib,cglib,4851,11.18,75
aviatorscript,killme2008,4836,14.18,124
spring-boot-best-practice,javastacks,4797,6.56,17
small-spring,fuzhengwei,4791,4.05,75
openai-java,TheoKanning,4790,4.71,19
reflections,ronmamo,4755,12.13,18
Spring-Boot-In-Action,hansonwang99,4706,6.34,14
spring-security-oauth,spring-attic,4696,13.86,361
FirebaseUI-Android,firebase,4694,9.9,40
spring-cloud-gateway,spring-cloud,4675,8.54,281
MaterialDateTimePicker,wdullaer,4667,10.41,10
db-tutorial,dunwu,4647,7.82,48
fastexcel,fast-excel,4628,0.65,224
JSON-java,stleary,4628,14.45,44
allure2,allure-framework,4625,9.02,45
ribbon,Netflix,4608,12.38,104
crawler4j,yasserg,4594,13.42,17
javacpp,bytedeco,4586,11.12,10
GCViewer,chewiebug,4543,13.61,71
objectbox-java,objectbox,4508,8.35,87
AndroidTutorialForBeginners,hussien89aa,4502,8.68,23
java-algorithms-implementation,phishman3579,4499,11.53,83
epic,tiann,4484,8.03,76
dynamic-tp,dromara,4417,3.4,68
GT,Tencent,4409,9.39,36
moco,dreamhead,4406,12.62,117
jacoco,jacoco,4346,12.9,350
IoT-Technical-Guide,IoT-Technology,4338,6.17,10
android-volley,mcxiaoke,4285,12.04,37
java-learning,brianway,4273,9.31,10
tx-lcn,codingapi,4199,7.56,10
spring-boot-starter,mybatis,4196,9.69,73
powermock,powermock,4186,11.02,650
hmily,dromara,4134,7.68,31
maxwell,zendesk,4133,10.31,58
tiny-spring,code4craft,4076,11.39,26
dubbo-admin,apache,4018,7.39,29
LiveEventBus,JeremyLiao,3948,6.89,10
awaitility,awaitility,3921,15.36,44
Leetcode,fishercoder1534,3911,8.84,1136
Conductor,bluelinelabs,3905,9.21,12
TinyPinyin,promeG,3891,9.67,13
screw,pingfangushi,3882,4.95,20
ripme,RipMeApp,3882,8.4,118
sofa-rpc,sofastack,3878,7.15,637
ShedLock,lukas-krecan,3874,8.47,166
pdfsam,torakiki,3800,11.69,239
mpush,mpusher,3775,9.1,30
FlatLaf,JFormDesigner,3770,5.79,69
NullAway,uber,3761,7.75,133
bundletool,google,3728,7.08,272
spruce-android,willowtreeapps,3721,8.27,12
sofa-jraft,sofastack,3700,6.25,244
JCTools,JCTools,3675,11.56,116
groupie,lisawray,3673,8.75,11
rejoiner,google,3670,7.49,13
fernflower,fesh0r,3663,10.67,12
light-4j,networknt,3651,8.73,330
undertow,undertow-io,3645,12.87,578
grpc-spring,grpc-ecosystem,3624,8.42,121
JavaSourceCodeLearning,coderbruis,3617,5.0,30
Alink,alibaba,3605,6.67,838
data-transfer-project,dtinit,3578,7.41,137
FlexibleAdapter,davideas,3572,10.09,13
android-maps-utils,googlemaps,3572,12.05,41
ftgo-application,microservices-patterns,3561,7.61,47
netty-learning,code4craft,3558,11.7,177
initializr,spring-io,3548,11.99,232
brigadier,Mojang,3546,10.72,27
parceler,johncarl81,3543,11.92,75
retrolambda,luontola,3536,11.87,27
Store,nytimes,3515,8.51,51
RxAndroidBle,dariuszseweryn,3501,9.33,39
immutables,immutables,3495,11.91,369
JavaEETest,lenve,3490,8.47,15
Chronicle-Queue,OpenHFT,3486,12.0,200
maestro,Netflix,3480,1.12,266
MyPerf4J,LinShunKang,3457,7.23,61
chatgpt-java,Grt1228,3449,2.3,15
SSM,crossoverJie,3445,8.95,13
migration,phodal,3445,5.4,12
springdoc-openapi,springdoc,3437,5.89,3905
concurrency-limits,Netflix,3422,7.47,32
ArchUnit,TNG,3418,8.12,820
volley,google,3397,8.35,38
android-priority-jobqueue,yigit,3394,10.96,76
AutoDispose,uber,3371,8.44,37
liteflow,dromara,3355,5.19,3003
jvm-tools,aragozin,3333,13.1,67
javacore,dunwu,3300,7.79,20
99-problems,shekhargulati,3298,9.53,57
ChipsLayoutManager,oleg-beloy,3287,8.83,14
WorldEdit,EngineHub,3267,14.68,32
Springboot-Notebook,chengxy-nds,3259,4.92,25
spring-cloud-tencent,Tencent,3258,3.84,165
simple-binary-encoding,aeron-io,3246,11.75,61
xLog,elvishew,3240,9.46,11
cobar,alibaba,3217,11.38,117
LoganSquare,bluelinelabs,3194,10.29,74
jmx_exporter,prometheus,3167,11.27,115
jitwatch,AdoptOpenJDK,3158,11.67,47
curator,apache,3140,11.25,186
OnJava8-Examples,BruceEckel,3133,10.12,28
booksource,guolindev,3132,8.66,68
requery,requery,3130,9.55,68
spring-data-jpa,spring-projects,3121,14.56,360
maven-mvnd,apache,3103,5.7,125
12306,nageoffer,3103,2.01,10
lombok-intellij-plugin,mplushnikov,3099,11.65,290
docker-java,docker-java,3075,11.0,166
commafeed,Athou,3074,12.21,36
Markwon,noties,3070,8.04,69
AppAuth-Android,openid,3023,9.28,35
agrona,aeron-io,3011,10.58,99
heritrix3,internetarchive,2975,13.62,144
netty-learning-example,sanshengshui,2923,6.7,12
spring,mybatis,2876,12.29,104
android-beacon-library,AltBeacon,2875,10.85,31
cruise-control,linkedin,2854,7.8,160
classgraph,classgraph,2851,10.79,204
parquet-java,apache,2828,10.98,277
PassJava-Platform,Jackson0714,2821,5.16,13
jOOR,jOOQ,2819,13.43,57
qmq,qunarcorp,2819,6.48,12
commons-lang,apache,2802,16.04,258
Twitter4J,Twitter4J,2797,16.11,40
Algorithms,pedrovgs,2787,10.56,80
webporter,brianway,2784,8.52,12
springboot-socks,yizhiwazi,2777,7.69,18
aws-cf-templates,widdix,2772,9.6,49
Zebra,Meituan-Dianping,2766,8.79,115
incubator-hugegraph,apache,2754,6.87,294
weixin-java-tools,chanjarster,2751,10.79,60
configuration-as-code-plugin,jenkinsci,2732,7.62,133
spring-native,spring-attic,2721,5.74,451
java-string-similarity,tdebatty,2717,11.13,16
connectbot,connectbot,2695,16.32,11
reactor-netty,reactor,2679,8.79,147
unirest-java,Kong,2672,14.15,132
fnlp,FudanNLP,2672,11.23,44
metadata-extractor,drewnoakes,2669,10.54,60
spring-boot-quick,vector4wang,2658,8.22,41
docker-maven-plugin,spotify,2656,10.95,12
learnjavabug,threedr3am,2649,7.08,20
webdrivermanager,bonigarcia,2633,10.22,87
fabric,FabricMC,2626,6.58,260
sugar,chennaione,2618,13.81,94
keywhiz,square,2617,10.19,160
paicoding,itwanger,2598,2.9,46
J2V8,eclipsesource,2586,10.83,33
jobrunr,jobrunr,2579,5.16,269
aws-lambda-developer-guide,awsdocs,2576,7.47,12
devops-master-class,in28minutes,2563,5.36,10
sshj,hierynomus,2555,15.27,92
storio,pushtorefresh,2541,10.76,366
ReactiveNetwork,pwittchen,2534,9.81,11
rest.li,linkedin,2521,12.51,1018
yugong,alibaba,2515,9.25,15
eclipse-collections,eclipse-collections,2513,9.52,1750
pf4j,pf4j,2512,12.65,50
Lealone,lealone,2510,12.4,160
javaee7-samples,javaee-samples,2510,11.77,225
swagger2markup,Swagger2Markup,2509,10.31,43
hypersistence-utils,vladmihalcea,2507,7.68,205
jcasbin,casbin,2501,7.73,40
jimfs,google,2486,11.62,51
archaius,Netflix,2484,13.07,48
http-kit,http-kit,2477,13.22,32
commonmark-java,commonmark,2473,9.87,65
sofa-bolt,sofastack,2473,7.15,121
logstash-logback-encoder,logfellow,2471,12.25,86
HotswapAgent,HotswapProjects,2453,11.53,447
C-OCR,ctripcorp,2443,6.14,11
sonarqube-community-branch-plugin,mc1arke,2434,6.25,74
NettyRpc,luxiaoxun,2429,9.22,16
Bukkit,Bukkit,2423,14.42,47
lanterna,mabe02,2415,9.93,118
slf4j,qos-ch,2414,15.79,110
ApiManager,EhsanTang,2408,9.18,12
start.spring.io,spring-io,2406,6.57,123
jmh,openjdk,2402,6.05,669
android-priority-jobqueue,path,2401,12.15,33
jeromq,zeromq,2399,12.84,253
zalenium,zalando,2380,8.66,32
RxCache,VictorAlbertos,2370,9.39,36
rsocket-java,rsocket,2368,9.9,171
moquette,moquette-io,2362,10.67,87
EasyTransaction,QNJR-GROUP,2359,8.18,25
copybara,google,2356,8.73,220
buckpal,thombergs,2345,6.07,15
Paper,pilgr,2344,9.98,10
spring-integration-samples,spring-projects,2343,13.82,83
WMRouter,meituan,2342,6.79,12
MvpApp,Rukey7,2340,8.79,10
spring-kafka,spring-projects,2332,9.25,222
dubbo-samples,apache,2328,7.1,180
mybatis-plus-samples,baomidou,2322,6.86,28
SpringBootLearning,forezp,2321,8.12,36
gitblit,gitblit-org,2318,13.95,84
webcam-capture,sarxos,2315,13.02,30
jackson-core,FasterXML,2309,13.45,233
kubernetes-plugin,jenkinsci,2285,10.29,69
Andromeda,iqiyi,2273,7.12,11
stream-lib,addthis,2257,14.22,29
XueQiuSuperSpider,decaywood,2249,9.52,27
mysql-binlog-connector-java,shyiko,2248,11.9,19
streamex,amaembo,2245,10.15,44
grpc-spring-boot-starter,LogNet,2242,9.35,68
SpringBoot-Dubbo-Docker-Jenkins,bz51,2237,7.37,11
exchange-core,exchange-core,2226,6.82,58
spring-retry,spring-projects,2225,14.45,68
scene,bytedance,2225,5.65,97
client_java,prometheus,2222,12.33,136
